8100843;Graz Köflacher;;;;;
8100845;Gunskirchen;;;;;
8100846;Guntramsdorf Thallern;;;;;
8100847;Grünbach am Schneeberg Kohlenwerk;;;;;
8100849;Glandorf;;;;;
8100850;Glanegg in Ktn;;;;;
8100851;Gleißenfeld;;;;;
8100852;Glinzendorf;;;;;
8100853;Glaubendorf-Wetzdorf;;;;;
8100856;Gnas;;;;;
8100857;Gniebing;;;;;
8100858;Grein Stadt;;;;;
8100859;Gobelsburg;;;;;
8100861;Gödersdorf;;;;;
8100862;Görtschach-Förolach;;;;;
8100863;Bad Goisern Jodschwefelbad;;;;;
8100864;Gopperding;;;;;
8100867;Gumpoldskirchen;;;;;
8100869;Gerasdorf b.Wien;;;;;
8100876;Großraming;;;;;
8100877;Granitztal;;;;;
8100878;Gerling OÖ;;;;;
8100879;Gerling im Pinzgau;;;;;
8100882;Grünbach am Schneeberg;;;;;
8100883;Graz Webling;;;;;
8100884;Groß Schweinbarth;;;;;
8100885;Gschnarret;;;;;
8100886;Gosdorf;;;;;
8100888;Grimsing;;;;;
8100890;Großsierning;;;;;
8100891;Gstocket;;;;;
8100892;Gries im Pinzgau;;;;;
8100893;Gschwandt-Rabesberg;;;;;
8100894;Guntersdorf;;;;;
8100896;Großwiesendorf-Tiefenthal;;;;;
8100897;Guggenbach;;;;;
8100898;Guggenbach Warthkogelsiedlung;;;;;
8100900;Gundersheim im Gailtal;;;;;
8100901;Guggenbach Pulverwerksiedlung;;;;;
8100903;Gussendorf;;;;;
8100905;Graz Wetzelsdorf;;;;;
8100906;Großweikersdorf;;;;;
8100907;Grieswirt;;;;;
8100910;Habachtal-Weyerhof;;;;;
8100912;Hagenau b.Salzburg;;;;;
8100914;Hagenau im Innkreis;;;;;
8100916;Halbenrain;;;;;
8100918;Wien Hirschstetten;;;;;
8100920;Wien Haidestraße;;;;;
8100921;Hatlerdorf (Dornbirn);;;;;
8100922;Wien Hadersdorf;;;;;
8100924;Heilbad Burgwies;;;;;
8100925;Hennersdorf b.Wien;;;;;
8100926;Hallstatt;;;;;
8100928;Helmahof;;;;;
8100929;Hallwang-Elixhausen;;;;;
8100932;Hengsthütte;;;;;
