Verkehrsstation	BST Code	BST ID	Produktnummer 2026	Anmerkung	Bundesland (inkl. Liechtenstein)
Ramingdorf-Haidershofen	Rh	1846	3.d		Niederösterreich
Rankweil	Rk	1857	3.c		Vorarlberg
Rattenberg-Kramsach	Rdf H1	2359	3.d		Tirol
Redl-Zipf	Rz	1908	3.d		Oberösterreich
Regelsbrunn	Reg	1832	3.d		Niederösterreich
Reichraming	Rei	1834	3.d		Oberösterreich
Reith	Re	1831	3.d		Tirol
Rekawinkel	Rw	1904	3.c		Niederösterreich
Rennweg	Ren	1352	3.c		Wien
Retz	R	1801	3.d		Niederösterreich
Reutte in Tirol	Rt	1890	3.d		Tirol
Reutte in Tirol Schulzentrum	Bch H4	142	3.d		Tirol
Ried im Innkreis	Rd	1819	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich 	Oberösterreich
Riedau	Ri	1851	3.d		Oberösterreich
Riedenburg	Lat H1	1247	3.c		Vorarlberg
Rietz	Ts  H1	2260	3.d		Tirol
Rohr	Stu H1	2136	3.d		Steiermark
Rohrbach a.d.Gölsen	Hn  H1	853	3.d		Niederösterreich
Rohrbach-Berg	Rob	1876	3.d		Oberösterreich
Rohrbach-Vorau	Rv  H1	5865935	3.d		Steiermark
Rohr-Bad Hall	Rr	1885	3.d		Oberösterreich
Rohrendorf	Hfa H1	821	3.d		Niederösterreich
Roppen	Rop	1882	3.d		Tirol
Rosenau	Hk  H1	1886	3.d		Niederösterreich
Rosenbach	Rn	1867	3.d		Kärnten
Rosenburg	Hna H1	1816	3.d		Niederösterreich
Roßleithen	Piv H1	1708	3.d		Oberösterreich
Rothengrub	Wil H1A	1045853	3.d		Niederösterreich
Rothenthurn	Ro	1869	3.d		Kärnten
Rottenegg	Rog	1877	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich 	Oberösterreich
Rum	H   H2	756	3.c		Tirol
Saalfelden	Saa	1918	3.c		Salzburg
Saffen	Pus H2	1784	3.d		Niederösterreich
Salzburg Aigen	Aj	25	3.d		Salzburg
Salzburg Aiglhof	Sba	4384071	3.c		Salzburg
Salzburg Gnigl	Sr  H1	1265694	3.c		Salzburg
Salzburg Hbf	Sb	1943	3.a		Salzburg
Salzburg Kasern	Hw  H1	922	3.d		Salzburg
Salzburg Liefering	Lfg	1501642	3.c		Salzburg
Salzburg Mülln-Altstadt	Sbj	2433097	3.c		Salzburg
Salzburg Parsch	Sr  H2	2076	3.d		Salzburg
Salzburg Sam	Sbm H1	1376891	3.c		Salzburg
Salzburg Süd	Aj  H1	26	3.d		Salzburg
Salzburg Taxham Europark	Sbe	1402942	3.c		Salzburg
Sarasdorf	Goe H1	655	3.d		Niederösterreich
Sattendorf	Saf	1931	3.d		Kärnten
Sattledt	Sad	1927	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich 	Oberösterreich
Säusenstein	Poe H2	1061	3.d		Niederösterreich
Sautern-Schiltern	Ptt H1	1768	3.d		Niederösterreich
Saxen	Ax	112	3.d		Oberösterreich
Schaan-Vaduz	Nd  H1H	1509	3.d		Liechtenstein
Schaftenau	K   H1	985	3.d		Tirol
Schalchen-Mattighofen	Mun H1	5267955	3.d		Oberösterreich
Schärding	Sch	1965	3.c		Oberösterreich
Scharnitz	Snz	2045	3.d		Tirol
Scharnstein-Mühldorf	Ssm	2085	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich 	Oberösterreich
Schauboden	Wie H3	2463	3.d		Niederösterreich
Schauersberg	Scb	1964	3.d		Oberösterreich
Scheibbs	Sbs	1955	3.d		Niederösterreich
Scheiblingkirchen-Warth	Sgk	2002	3.d		Niederösterreich
Scheifling	Sf	1994	3.c		Steiermark
Schladming	Sdg	1970	3.c		Steiermark
Schlägl	Oep H1	1613	3.d		Oberösterreich
Schleinbach	Snb	2040	3.d		Niederösterreich
Schlierbach	Srb	2077	3.d		Oberösterreich
Schlins-Beschling	Lt  H2	1277	3.d		Vorarlberg
Schlöglmühl	Glo H1	629	3.d		Niederösterreich
